"Date","P/E","P/B","Div Yield"
"03-Jan-2005","       15.57","        3.67","        1.89"
"04-Jan-2005","       15.49","        3.65","        1.90"
"05-Jan-2005","       14.96","        3.52","        1.97"
"06-Jan-2005","       14.71","        3.47","        2.00"
"07-Jan-2005","       14.84","        3.49","        1.98"
"10-Jan-2005","       14.58","        3.44","        2.02"
"11-Jan-2005","       14.37","        3.39","        2.05"
"12-Jan-2005","       14.05","        3.32","        2.09"
"13-Jan-2005","       14.35","        3.39","        2.05"
"14-Jan-2005","       14.18","        3.35","        2.07"
"17-Jan-2005","       14.17","        3.35","        2.07"
"18-Jan-2005","       14.19","        3.36","        2.07"
"19-Jan-2005","       14.12","        3.34","        2.07"
"20-Jan-2005","       14.09","        3.34","        2.08"
"24-Jan-2005","       13.60","        3.31","        2.09"
"25-Jan-2005","       13.74","        3.35","        2.07"
"27-Jan-2005","       13.84","        3.39","        2.04"
"28-Jan-2005","       14.34","        3.49","        1.99"
"31-Jan-2005","       14.68","        3.57","        1.94"
"01-Feb-2005","       14.34","        3.58","        1.94"
"02-Feb-2005","       14.24","        3.56","        1.95"
"03-Feb-2005","       14.42","        3.61","        1.92"
"04-Feb-2005","       14.41","        3.61","        1.92"
"07-Feb-2005","       14.26","        3.57","        2.02"
"08-Feb-2005","       14.26","        3.57","        2.02"
"09-Feb-2005","       14.36","        3.59","        2.01"
"10-Feb-2005","       14.31","        3.58","        2.01"
"11-Feb-2005","       14.48","        3.61","        2.00"
"14-Feb-2005","       14.59","        3.64","        1.99"
"15-Feb-2005","       14.53","        3.63","        2.00"
"16-Feb-2005","       14.39","        3.59","        2.02"
"17-Feb-2005","       14.34","        3.58","        2.03"
"18-Feb-2005","       14.29","        3.57","        2.04"
"21-Feb-2005","       14.21","        3.55","        2.05"
"22-Feb-2005","       14.31","        3.57","        2.03"
"23-Feb-2005","       14.30","        3.57","        2.03"
"24-Feb-2005","       14.29","        3.57","        2.04"
"25-Feb-2005","       14.71","        3.84","        1.93"
"28-Feb-2005","       15.02","        3.92","        1.90"
"01-Mar-2005","       14.88","        3.89","        1.92"
"02-Mar-2005","       14.94","        3.90","        1.91"
"03-Mar-2005","       15.20","        3.97","        1.88"
"04-Mar-2005","       15.34","        4.01","        1.86"
"07-Mar-2005","       15.42","        4.03","        1.85"
"08-Mar-2005","       15.48","        4.05","        1.84"
"09-Mar-2005","       15.43","        4.03","        1.85"
"10-Mar-2005","       15.47","        4.04","        1.84"
"11-Mar-2005","       15.38","        4.02","        1.86"
"14-Mar-2005","       15.32","        4.00","        1.86"
"15-Mar-2005","       15.20","        3.97","        1.88"
"16-Mar-2005","       15.17","        3.96","        1.88"
"17-Mar-2005","       14.98","        3.91","        1.91"
"18-Mar-2005","       15.06","        3.93","        1.90"
"21-Mar-2005","       14.97","        3.91","        1.92"
"22-Mar-2005","       14.72","        3.85","        1.95"
"23-Mar-2005","       14.47","        3.78","        1.99"
"24-Mar-2005","       14.39","        3.76","        2.00"
"28-Mar-2005","       14.54","        3.80","        1.98"
"29-Mar-2005","       14.21","        3.71","        2.02"
"30-Mar-2005","       14.30","        3.74","        2.01"
"31-Mar-2005","       14.60","        3.82","        1.97"
"01-Apr-2005","       14.84","        3.88","        1.94"
"04-Apr-2005","       14.81","        3.86","        1.94"
"05-Apr-2005","       14.71","        3.84","        1.95"
"06-Apr-2005","       14.83","        3.87","        1.94"
"07-Apr-2005","       14.71","        3.84","        1.95"
"08-Apr-2005","       14.56","        3.80","        1.97"
"11-Apr-2005","       14.39","        3.76","        2.00"
"12-Apr-2005","       14.65","        3.82","        1.96"
"13-Apr-2005","       14.52","        3.79","        1.98"
"15-Apr-2005","       13.95","        3.66","        2.05"
"18-Apr-2005","       13.75","        3.61","        2.08"
"19-Apr-2005","       13.64","        3.57","        2.10"
"20-Apr-2005","       13.78","        3.61","        2.08"
"21-Apr-2005","       13.87","        3.65","        2.06"
"22-Apr-2005","       13.97","        3.68","        2.04"
"25-Apr-2005","       13.99","        3.69","        2.03"
"26-Apr-2005","       13.85","        3.66","        2.05"
"27-Apr-2005","       13.51","        3.62","        2.07"
"28-Apr-2005","       13.55","        3.63","        2.07"
